               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.015096,           0.0090949,           0.0039906,             0.96741,             0.98705,             0.98808,             0.88075,           0.0064016,           0.0023165,          0.00043186,           0.0024948,           0.0024948,           0.0024948
                  86,            0.014955,           0.0090634,           0.0043111,             0.96339,             0.99164,             0.98776,             0.87358,           0.0064385,           0.0022826,          0.00043655,            0.002436,            0.002436,            0.002436
                  87,            0.015692,           0.0090678,           0.0046689,             0.96929,             0.98667,             0.98444,             0.87369,           0.0065298,           0.0022839,          0.00045741,           0.0023807,           0.0023807,           0.0023807
                  88,            0.014788,           0.0086078,           0.0039626,             0.96802,             0.98836,             0.98756,             0.88154,           0.0064222,           0.0022313,          0.00043983,            0.002329,            0.002329,            0.002329
                  89,            0.015509,           0.0090752,           0.0045637,             0.96648,             0.98786,             0.98701,              0.8773,           0.0065176,           0.0023087,          0.00044883,           0.0022809,           0.0022809,           0.0022809
                  90,            0.016358,           0.0090507,           0.0047064,             0.96956,             0.98958,             0.98699,             0.88248,           0.0066787,           0.0022494,          0.00044896,           0.0022365,           0.0022365,           0.0022365
                  91,            0.015906,           0.0090201,           0.0041763,             0.96544,              0.9905,              0.9874,             0.88329,           0.0064969,           0.0022986,          0.00041039,           0.0021958,           0.0021958,           0.0021958
                  92,             0.01483,           0.0086437,           0.0049083,             0.96375,             0.98776,             0.98886,             0.87969,            0.006336,           0.0022925,          0.00040474,           0.0021588,           0.0021588,           0.0021588
                  93,            0.015423,           0.0088767,           0.0044896,             0.95845,             0.98352,             0.98747,             0.88225,           0.0064514,           0.0022874,           0.0004031,           0.0021257,           0.0021257,           0.0021257
                  94,            0.015027,           0.0091794,           0.0040265,             0.96991,             0.98475,             0.98868,             0.88255,           0.0065859,           0.0022186,          0.00040491,           0.0020963,           0.0020963,           0.0020963
                  95,            0.015073,            0.009049,           0.0042381,             0.97055,             0.99028,              0.9877,             0.88339,           0.0062267,           0.0022731,          0.00043783,           0.0020709,           0.0020709,           0.0020709
                  96,            0.014917,           0.0089126,           0.0047138,             0.96948,             0.98635,             0.98802,             0.88822,           0.0063327,           0.0022423,          0.00038915,           0.0020492,           0.0020492,           0.0020492
                  97,            0.015217,            0.008921,           0.0046558,             0.95883,             0.98797,             0.98729,             0.88348,           0.0063258,           0.0022801,          0.00041584,           0.0020315,           0.0020315,           0.0020315
                  98,             0.01443,           0.0087669,           0.0042726,             0.97233,             0.98938,               0.988,             0.88756,           0.0064964,           0.0022163,          0.00045344,           0.0020178,           0.0020178,           0.0020178
                  99,            0.014718,           0.0086599,           0.0045012,             0.96722,             0.99033,             0.98825,             0.88479,           0.0064839,            0.002259,           0.0004438,           0.0020079,           0.0020079,           0.0020079
